Player,Tm,Salary,Cap Hit
Mark Giordano,CGY,6750000,6750000
Mark Scheifele,WPG,6750000,6125000
Ryan Kesler,ANA,6675000,6875000
Bo Horvat,VAN,6500000,5500000
Travis Zajac,NJ,6500000,5750000
Ryan Callahan,TB,6500000,5800000
Oliver Ekman-Larsson,ARI,6500000,5500000
Sergei Bobrovsky,CBJ,6500000,7425000
Colton Parayko,STL,6500000,5500000
Jeff Carter,LA,6500000,5272727
Jonathan Drouin,MTL,6500000,5500000
Dmitry Orlov,WSH,6500000,5100000
Sean Monahan,CGY,6500000,6375000
Dustin Brown,LA,6500000,5875000
Brandon Saad,CHI,6250000,6000000
Jonathan Huberdeau,FLA,6200000,5900000
Alex Goligoski,ARI,6100000,5475000
Karl Alzner,MTL,6000000,4625000
Shayne Gostisbehere,PHI,6000000,4500000
Logan Couture,SJ,6000000,6000000
Reilly Smith,VGS,6000000,5000000
Filip Forsberg,NSH,6000000,6000000
Erik Johnson,COL,6000000,6000000
Frans Nielsen,DET,6000000,5250000
Jeff Skinner,CAR,6000000,5725000
Corey Crawford,CHI,6000000,6000000
Jeff Petry,MTL,6000000,5500000
Mike Green,DET,6000000,6000000
Mikhail Grabovski,VGS,6000000,5000000
Jordan Staal,CAR,6000000,6000000
Gabriel Landeskog,COL,6000000,5571429
Taylor Hall,NJ,6000000,6000000
Marc Staal,NYR,6000000,5700000
Artemi Panarin,CBJ,6000000,6000000
John Tavares,NYI,6000000,5500000
Cory Schneider,NJ,6000000,6000000
Jordan Eberle,NYI,6000000,6000000
Mika Zibanejad,NYR,6000000,5350000
Tyler Seguin,DAL,6000000,5750000
Alexander Edler,VAN,6000000,5000000
Tomas Tatar,VGS,6000000,5300000
Evander Kane,SJ,6000000,5250000
Matt Duchene,OTT,6000000,6000000
Ryan Nugent-Hopkins,EDM,6000000,6000000
Joe Pavelski,SJ,6000000,6000000
Hampus Lindholm,ANA,6000000,5205556
Brandon Dubinsky,CBJ,5850000,5850000
Blake Wheeler,WPG,5800000,5600000
Matt Niskanen,WSH,5750000,5750000
Dougie Hamilton,CGY,5750000,5750000
Toby Enstrom,WPG,5750000,5750000
Nathan MacKinnon,COL,5750000,6300000
Marc-Andre Fleury,VGS,5750000,5750000
Semyon Varlamov,COL,5750000,5900000
Roberto Luongo,FLA,5706900,4533333
Mike Hoffman,OTT,5650000,5187500
Ondrej Palat,TB,5600000,5300000
Brooks Orpik,WSH,5500000,5500000
Zach Bogosian,BUF,5500000,5142857
Justin Schultz,PIT,5500000,5500000
Danny DeKeyser,DET,5500000,5000000
Andrej Sekera,EDM,5500000,5500000
Jared Spurgeon,MIN,5500000,5187500
Torey Krug,BOS,5500000,5250000
Nick Foligno,CBJ,5500000,5500000
Justin Faulk,CAR,5500000,4833333
Jaden Schwartz,STL,5500000,5350000
Dave Bolland,ARI,5500000,5500000
Seth Jones,CBJ,5400000,5400000
Rasmus Ristolainen,BUF,5400000,5400000
Jay Bouwmeester,STL,5400000,5400000
Mikael Granlund,MIN,5250000,5750000
Nikolai Kulemin,NYI,5250000,4187500
Andrew MacDonald,PHI,5250000,5000000
Aleksander Barkov,FLA,5250000,5900000
Martin Hanzal,DAL,5250000,4750000
Dion Phaneuf,LA,5250000,5250000
Tyson Barrie,COL,5250000,5500000
Gustav Nyquist,DET,5250000,4750000
Ryan McDonagh,TB,5100000,4700000
Marian Gaborik,OTT,5075000,4875000
Jack Johnson,CBJ,5000000,4357143
Jimmy Howard,DET,5000000,5291667
Nick Leddy,NYI,5000000,5500000
Duncan Keith,CHI,5000000,5538462
Tyler Johnson,TB,5000000,5000000
Carl Soderberg,COL,5000000,4750000
Devan Dubnyk,MIN,5000000,4333333
Valtteri Filppula,PHI,5000000,5000000
Frederik Andersen,TOR,5000000,5000000
Andrew Shaw,MTL,5000000,3900000
Jason Pominville,BUF,5000000,5600000
James Neal,VGS,5000000,5000000
Morgan Rielly,TOR,5000000,5000000
James van Riemsdyk,TOR,5000000,4250000
Chris Kreider,NYR,5000000,4625000
Brayden Schenn,STL,5000000,5125000
Max Pacioretty,MTL,5000000,4500000
Chris Tanev,VAN,5000000,4450000
Sami Vatanen,NJ,5000000,4875000
Nazem Kadri,TOR,5000000,4500000
Jaroslav Halak,NYI,5000000,4500000
Bryan Little,WPG,5000000,4700000
Kris Russell,EDM,5000000,4000000
Artem Anisimov,CHI,5000000,4550000
Andy Greene,NJ,5000000,5000000
Kari Lehtonen,DAL,5000000,5900000
Justin Abdelkader,DET,5000000,4250000
Adam Henrique,ANA,5000000,4000000
Cal Clutterbuck,NYI,5000000,3500000
Roman Josi,NSH,5000000,4000000
Justin Williams,CAR,5000000,4500000
Alex Galchenyuk,MTL,4900000,4900000
Marc Methot,DAL,4900000,4900000
Travis Hamonic,CGY,4875000,3857143
Ryane Clowe,NJ,4850000,4850000
T.J. Brodie,CGY,4838000,4650400
Mikkel Boedker,SJ,4800000,4000000
Patric Hornqvist,PIT,4750000,4250000
Scott Darling,CAR,4750000,4150000
Lars Eller,WSH,4750000,3500000
Marcus Johansson,NJ,4750000,4583333
Wayne Simmonds,PHI,4750000,3975000
Jason Demers,ARI,4725000,3937500
Jori Lehtera,PHI,4700000,4700000
Patrik Berglund,STL,4700000,3850000
Evgeni Dadonov,FLA,4650000,4000000
Nino Niederreiter,MIN,4600000,5250000
Connor Murphy,CHI,4600000,3850000
Jonas Brodin,MIN,4500000,4166667
Anders Lee,NYI,4500000,3750000
Anton Stralman,TB,4500000,4500000
Vincent Trocheck,FLA,4500000,4750000
Nikita Zaitsev,TOR,4500000,4500000
Mike Smith,CGY,4500000,4250000
Mark Stone,OTT,4500000,3500000
Mats Zuccarello,NYR,4500000,4500000
Mathieu Perreault,WPG,4500000,4125000
Darren Helm,DET,4500000,3850000
Troy Brouwer,CGY,4500000,4500000
Adam Larsson,EDM,4500000,4166667
Cam Atkinson,CBJ,4500000,3500000
Kyle Palmieri,NJ,4500000,4650000
Nikita Kucherov,TB,4500000,4766667
Alex Killorn,TB,4450000,4450000
Tyler Toffoli,LA,4400000,4600000
Paul Martin,SJ,4400000,4850000
Dmitry Kulikov,WPG,4333333,4333333
Marc-Edouard Vlasic,SJ,4250000,4250000
Jonathan Ericsson,DET,4250000,4250000
Viktor Arvidsson,NSH,4250000,4250000
Brandon Sutter,VAN,4250000,4375000
Craig Smith,NSH,4250000,4250000
Cam Talbot,EDM,4150000,4166667
Steve Mason,WPG,4100000,4100000
Jake Muzzin,LA,4100000,4000000
Nick Bonino,NSH,4100000,4100000
Rick Nash,BOS,4100000,3900000
Brian Dumoulin,PIT,4100000,4100000
Olli Maatta,PIT,4083300,4083333
Jake Gardiner,TOR,4050000,4050000
Zdeno Chara,BOS,4000000,4000000
Colin Wilson,COL,4000000,3937500
Vladimir Sobotka,STL,4000000,3500000
Niklas Hjalmarsson,ARI,4000000,4100000
Tyler Bozak,TOR,4000000,4200000
Kyle Turris,NSH,4000000,3500000
Alec Martinez,LA,4000000,4000000
Michael Frolik,CGY,4000000,4300000
Josh Bailey,NYI,4000000,3300000
Trevor Daley,DET,4000000,3166667
Kevin Bieksa,ANA,4000000,4000000
Robin Lehner,BUF,4000000,4000000
John Carlson,WSH,4000000,3966667
Cam Fowler,ANA,4000000,4000000
Victor Rask,CAR,4000000,4000000
David Savard,CBJ,4000000,4250000
Marco Scandella,BUF,4000000,4000000
Luca Sbisa,VGS,4000000,3600000
Sean Couturier,PHI,4000000,4333333
Josh Gorges,BUF,3900000,3900000
Nick Bjugstad,FLA,3850000,4100000
Jake Allen,STL,3850000,4350000
Cody Eakin,VGS,3850000,3850000
Justin Braun,SJ,3800000,3800000
Rickard Rakell,ANA,3800000,3789444
Matt Murray,PIT,3750000,3750000
Paul Stastny,WPG,3750000,3500000
Jakob Silfverberg,ANA,3750000,3750000
David Perron,VGS,3750000,3750000
Braydon Coburn,TB,3700000,3700000
Carl Hagelin,PIT,3667000,4000000
Tyler Ennis,MIN,3650000,4600000
Ron Hainsey,TOR,3600000,3000000
Mikael Backlund,CGY,3575000,3575000
Alexander Wennberg,CBJ,3500000,4900000
Tyler Myers,WPG,3500000,5500000
Charlie Coyle,MIN,3500000,3200000
Erik Gudbranson,VAN,3500000,3500000
Tanner Pearson,LA,3500000,3750000
Brock Nelson,NYI,3500000,2500000
Eric Staal,MIN,3500000,3500000
Matt Read,PHI,3500000,3625000
John Klingberg,DAL,3500000,4250000
Jamie McGinn,FLA,3500000,3333333
Michael Stone,CGY,3500000,3500000
Mattias Ekholm,NSH,3500000,3750000
Jacob Trouba,WPG,3500000,2812500
Radko Gudas,PHI,3500000,3350000
Niklas Kronwall,DET,3500000,4750000
Oscar Klefbom,EDM,3500000,4167000
Brenden Dillon,SJ,3400000,3270000
Jacob Markstrom,VAN,3400000,3666667
Cody Ceci,OTT,3350000,2800000
Andrew Cogliano,ANA,3300000,3000000
Patrick Eaves,ANA,3300000,3150000
Calvin de Haan,NYI,3300000,3300000
Joel Ward,SJ,3275000,3275000
Zack Smith,OTT,3250000,3250000
Clayton Stoner,VGS,3250000,3250000
Dan Girardi,TB,3250000,3000000
Alexei Emelin,NSH,3200598,2982375
Tomas Hertl,SJ,3200000,3000000
James Reimer,FLA,3200000,3400000
Cam Ward,CAR,3100000,3300000
Craig Anderson,OTT,3100000,4200000
Thomas Hickey,NYI,3100000,2200000
Andrei Vasilevskiy,TB,3000000,3500000
Michael Del Zotto,VAN,3000000,3000000
Anders Nilsson,VAN,3000000,2500000
Ryan Ellis,NSH,3000000,2500000
Thomas Greiss,NYI,3000000,3333333
Martin Jones,SJ,3000000,3000000
Dan Hamhuis,DAL,3000000,3750000
Brian Boyle,NJ,3000000,2750000
Ryan Strome,EDM,3000000,2500000
Casey Cizikas,NYI,3000000,3350000
Conor Sheary,PIT,3000000,3000000
Adam McQuaid,BOS,3000000,2750000
Leo Komarov,TOR,2950000,2950000
Carl Gunnarsson,STL,2900000,2900000
Elias Lindholm,CAR,2900000,2700000
Matt Calvert,CBJ,2900000,2200000
Boone Jenner,CBJ,2900000,2900000
Teuvo Teravainen,CAR,2860000,2860000
Ryan Spooner,NYR,2825000,2825000
Ryan Murray,CBJ,2825000,2825000
Ben Hutton,VAN,2800000,2800000
Richard Panik,ARI,2800000,2800000
Brendan Gallagher,MTL,2750000,3750000
Ben Lovejoy,NJ,2750000,2666667
Jonathan Bernier,COL,2750000,2750000
Andre Burakovsky,WSH,2750000,3000000
Erik Haula,VGS,2750000,2750000
J.T. Miller,TB,2750000,2750000
Sam Gagner,VAN,2750000,3150000
Mathew Dumba,MIN,2750000,2550000
Jean-Gabriel Pageau,OTT,2600000,3100000
Kevin Hayes,NYR,2600000,2600000
Dale Weise,PHI,2550000,2350000
Jason Chimera,ANA,2500000,2250000
Brian Elliott,PHI,2500000,2750000
Tomas Plekanec,TOR,2500000,3000000
Matt Stajan,CGY,2500000,3125000
Lee Stempniak,CAR,2500000,2500000
Damon Severson,NJ,2500000,4166666
Chad Johnson,BUF,2500000,2500000
Ian Cole,CBJ,2500000,2100000
Radim Vrbata,FLA,2500000,2500000
Matt Hunwick,PIT,2500000,2250000
Kevan Miller,BOS,2500000,2500000
Matt Martin,TOR,2500000,2500000
Alexandre Burrows,OTT,2500000,2500000
Michal Neuvirth,PHI,2500000,2500000
Jannik Hansen,SJ,2400000,2000000
Antoine Roussel,DAL,2400000,2000000
Blake Comeau,COL,2400000,2400000
Michael Raffl,PHI,2350000,2350000
Nathan Beaulieu,BUF,2300000,2400000
Connor Hellebuyck,WPG,2250000,2250000
Tom Wilson,WSH,2250000,2000000
Brad Richardson,ARI,2250000,2083333
David Schlemko,MTL,2250000,2100000
Esa Lindell,DAL,2200000,2200000
Nate Schmidt,VGS,2150000,2225000
Shawn Matthias,WPG,2125000,2125000
Connor Brown,TOR,2100000,2100000
Derick Brassard,PIT,2100000,3000000
Nikita Zadorov,COL,2100000,2150000
John Gibson,ANA,2100000,2300000
Tobias Rieder,LA,2082500,1891250
Riley Sheahan,PIT,2075000,2075000
Petr Mrazek,PHI,2075000,2000000
Melker Karlsson,SJ,2000000,2000000
Jason Zucker,MIN,2000000,2000000
Marcus Foligno,MIN,2000000,2875000
Trevor Lewis,LA,2000000,2000000
Thomas Vanek,CBJ,2000000,2000000
Radek Faksa,DAL,2000000,2200000
Luke Glendening,DET,2000000,1800000
Chris Kunitz,TB,2000000,2000000
Sven Baertschi,VAN,2000000,1850000
Zach Hyman,TOR,2000000,2250000
Ryan Miller,ANA,2000000,2000000
Eric Fehr,SJ,2000000,2000000
Vladislav Namestnikov,NYR,1975000,1937500
Sam Bennett,CGY,1950000,1950000
John Moore,NJ,1950000,1666667
Andrej Sustr,TB,1950000,1950000
Mark Pysyk,FLA,1950000,2733333
Joonas Donskoi,SJ,1900000,1900000
Zack Kassian,EDM,1850000,1950000
Alexander Petrovic,FLA,1850000,1850000
Mark Letestu,CBJ,1800000,1800000
Calle Jarnkrok,NSH,1800000,2000000
Brayden McNabb,VGS,1800000,1700000
Nick Holden,BOS,1800000,1650000
Jake McCabe,BUF,1775000,1600000
Jordan Weal,PHI,1750000,1750000
Jay Beagle,WSH,1750000,1750000
Jordan Martinook,ARI,1750000,1800000
Jesper Fast,NYR,1750000,1850000
Antoine Vermette,ANA,1750000,1750000
Kris Versteeg,CGY,1750000,1750000
Brett Ritchie,DAL,1700000,1750000
Mike Condon,OTT,1700000,2400000
Micheal Ferland,CGY,1700000,1750000
Kyle Clifford,LA,1700000,1600000
Derek MacKenzie,FLA,1650000,1375000
Michael Grabner,NJ,1650000,1650000
Nate Thompson,LA,1650000,1650000
Josh Anderson,CBJ,1600000,1850000
Zemgus Girgensons,BUF,1600000,1600000
Oscar Lindberg,VGS,1600000,1700000
Patrick Maroon,NJ,1575000,1500000
Brandon Davidson,NYI,1550000,1425000
Brett Connolly,WSH,1500000,1500000
Andrew Hammond,COL,1500000,1350000
Ryan Dzingel,OTT,1500000,1800000
Philipp Grubauer,WSH,1500000,1500000
Luke Schenn,ARI,1500000,1250000
Pierre-Edouard Bellemare,VGS,1450000,1450000
Derek Ryan,CAR,1425000,1425000
Johan Larsson,BUF,1400000,1475000
Andreas Athanasiou,DET,1387500,1387500
Joakim Nordstrom,CAR,1300000,1275000
Ondrej Pavelec,NYR,1300000,1300000
Torrey Mitchell,LA,1300000,1200000
Michael Hutchinson,WPG,1300000,1150000
Jonathon Merrill,VGS,1275000,1137500
Adam Lowry,WPG,1250000,1125000
Dennis Seidenberg,NYI,1250000,1250000
J.T. Brown,ANA,1250000,1250000
Sven Andrighetto,COL,1250000,1400000
Chris Kelly,ANA,1250000,1250000
Paul Byron,MTL,1200000,1166667
Xavier Ouellet,DET,1200000,1250000
Keith Kinkaid,NJ,1200000,1250000
Anthony Duclair,CHI,1200000,1200000
Mark Borowiecki,OTT,1200000,1100000
Ben Chiarot,WPG,1200000,1400000
Anton Khudobin,BOS,1200000,1200000
Robert Bortuzzo,STL,1150000,1150000
Benoit Pouliot,BUF,1150000,1150000
Ryan Reaves,VGS,1125000,1125000
Colin Miller,VGS,1100000,1000000
Jussi Jokinen,VAN,1100000,1100000
Chris Stewart,CGY,1100000,1150000
Jordie Benn,MTL,1100000,1100000
Roman Polak,TOR,1100000,1100000
Louis Domingue,TB,1100000,1050000
Kevin Connauton,ARI,1050000,1000000
Peter Budaj,TB,1025000,1025000
William Karlsson,VGS,1000000,1000000
Mike Fisher,NSH,1000000,1000000
Dmitrij Jaskin,STL,1000000,1000000
Austin Watson,NSH,1000000,1100000
Antti Raanta,ARI,1000000,1000000
Yanni Gourde,TB,1000000,1000000
Dominic Moore,TOR,1000000,1000000
Mike Cammalleri,EDM,1000000,1000000
Francois Beauchemin,ANA,1000000,1000000
Matthew Nieto,COL,1000000,1000000
Carter Hutton,STL,1000000,1125000
Tom Pyatt,OTT,1000000,1100000
David Desharnais,NYR,1000000,1000000
Brandon Manning,PHI,1000000,975000
Al Montoya,EDM,1000000,1062500
Johnny Oduya,PHI,1000000,1000000
Jordan Nolan,BUF,1000000,950000
Scott Hartnell,NSH,1000000,1000000
Ales Hemsky,MTL,1000000,1000000
Tyler Pitlick,DAL,1000000,1000000
Matt Cullen,MIN,1000000,1000000
Deryk Engelland,VGS,1000000,1000000
Joel Armia,WPG,975000,925000
Jamie Oleksiak,PIT,964688,964688
Nick Cousins,ARI,950000,1000000
Colton Sceviour,FLA,950000,950000
Phillip Danault,MTL,950000,912500
Markus Granlund,VAN,950000,900000
Patrik Nemeth,COL,945000,945000
Nico Hischier,NJ,925000,925000
Mark Jankowski,CGY,925000,925000
Evgeny Svechnikov,DET,925000,863333
Neal Pionk,NYR,925000,925000
Jordan Schmaltz,STL,925000,925000
Connor McDavid,EDM,925000,925000
Jack Roslovic,WPG,925000,894166
J.T. Compher,COL,925000,925000
Jake Debrusk,BOS,925000,863333
Mathew Barzal,NYI,925000,863333
Brock Boeser,VAN,925000,925000
Miles Wood,NJ,925000,925000
Matthew Tkachuk,CGY,925000,925000
Dylan Larkin,DET,925000,925000
Brady Skjei,NYR,925000,925000
Auston Matthews,TOR,925000,925000
Anton Slepyshev,EDM,925000,925000
David Kampf,CHI,925000,925000
Matt Grzelcyk,BOS,925000,858750
Alexander Kerfoot,COL,925000,925000
Noah Hanifin,CAR,925000,925000
Danton Heinen,BOS,925000,872500
Anthony Beauvillier,NYI,925000,894167
Jimmy Vesey,NYR,925000,925000
Tyler Motte,VAN,925000,925000
Ivan Provorov,PHI,925000,894167
Victor Antipin,BUF,925000,925000
Brandon Montour,ANA,925000,925000
Nick Shore,CGY,925000,925000
Daniel O'Regan,BUF,925000,858750
Adrian Kempe,LA,925000,894167
Zach Aston-Reese,PIT,925000,925000
Rob O'Gara,NYR,925000,925000
Zach Werenski,CBJ,925000,925000
Kyle Connor,WPG,925000,925000
Nick Schmaltz,CHI,925000,925000
Charlie McAvoy,BOS,925000,916667
Dominic Toninato,COL,925000,925000
Ian McCoshen,FLA,925000,925000
Ville Husso,STL,925000,847500
Pavel Buchnevich,NYR,925000,925000
Artturi Lehkonen,MTL,925000,839167
Vladislav Kamenev,COL,925000,833333
Mikhail Sergachev,TB,925000,894166
Alex Iafallo,LA,925000,925000
Thomas Chabot,OTT,925000,863333
Matt Benning,EDM,925000,925000
Timo Meier,SJ,925000,894167
Travis Konecny,PHI,925000,894167
Jakub Jerabek,WSH,925000,925000
Mike Matheson,FLA,925000,925000
Anders Bjork,BOS,925000,925000
Noah Juulsen,MTL,925000,863333
Devin Shore,DAL,925000,870000
Joel Eriksson Ek,MIN,925000,894167
Jack Eichel,BUF,925000,925000
Jakob Chychrun,ARI,925000,925000
Travis Dermott,TOR,925000,863333
Patrik Laine,WPG,925000,925000
Oskar Lindblom,PHI,925000,925000
Jesse Puljujarvi,EDM,925000,925000
Tage Thompson,STL,925000,925000
Luke Kunin,MIN,925000,925000
Jan Rutta,CHI,925000,925000
Pavel Zacha,NJ,925000,894167
Nolan Patrick,PHI,925000,925000
Alex Tuch,VGS,925000,925000
Sebastian Aho,CAR,925000,925000
Mitch Marner,TOR,925000,894167
Drake Caggiula,EDM,925000,925000
Mikko Rantanen,COL,925000,894167
Pierre-Luc Dubois,CBJ,925000,894166
Troy Stecher,VAN,925000,925000
Sean Kuraly,BOS,925000,808750
Will Butcher,NJ,925000,925000
Michal Kempny,WSH,900000,900000
Riley Nash,BOS,900000,900000
Chris Thorburn,STL,900000,900000
Tyson Jost,COL,900000,885833
Trevor van Riemsdyk,CAR,900000,825000
Andrew Copp,WPG,900000,1000000
Kyle Brodziak,STL,900000,950000
Shane Prince,NYI,900000,850000
Clayton Keller,ARI,900000,885833
Christian Dvorak,ARI,892500,839167
Brett Pesce,CAR,892500,809167
Scott Laughton,PHI,875000,962500
Adam Pelech,NYI,875000,1600000
Nail Yakupov,COL,875000,875000
Brock McGinn,CAR,875000,887500
Paul Ladue,LA,874125,874125
Alex Lyon,PHI,874125,874125
Christian Folin,LA,850000,850000
Greg Pateryn,DAL,850000,800000
Curtis McElhinney,TOR,850000,850000
Curtis Lazar,CGY,850000,950000
Connor Carrick,TOR,850000,750000
Marko Dano,WPG,850000,850000
Klas Dahlbeck,CAR,850000,850000
Markus Nutivaara,CBJ,842500,817500
Frank Vatrano,FLA,842500,792500
William Nylander,TOR,832500,894167
Ryan Pulock,NYI,832500,863333
Haydn Fleury,CAR,832500,863333
Jared McCann,FLA,832500,894167
Adam Erne,TB,832500,874167
Julius Honka,DAL,832500,863333
Nikolaj Ehlers,WPG,832500,894167
Darnell Nurse,EDM,832500,863333
Nick Ritchie,ANA,832500,894167
Robert Hagg,PHI,832500,894167
Sam Reinhart,BUF,832500,894167
Josh Morrissey,WPG,832500,863333
Ryan Hartman,NSH,832500,863333
Nikita Scherbak,MTL,832500,863333
Nikolay Goldobin,VAN,832500,863333
Brendan Perlini,ARI,832500,863333
Kevin Fiala,NSH,832500,863333
Kasperi Kapanen,TOR,832500,863333
Sonny Milano,CBJ,832500,863333
Jason Dickinson,DAL,832500,894167
Jake Virtanen,VAN,832500,894167
Max Domi,ARI,832500,863333
Shea Theodore,VGS,832500,863333
Anthony Mantha,DET,832500,863333
Anthony DeAngelo,NYR,832500,863333
Jakub Vrana,WSH,832500,863333
Marcus Pettersson,ANA,825000,794167
Cedric Paquette,TB,825000,812500
Taylor Chorney,CBJ,825000,800000
Josh Manson,ANA,825000,825000
Brandon Carlo,BOS,817500,789167
Christian Fischer,ARI,817500,821666
Vinnie Hinostroza,CHI,817500,717500
Taylor Leier,PHI,806558,806558
Patrick Sharp,CHI,800000,800000
Nikita Soshnikov,STL,800000,736666
Slater Koekkoek,TB,800000,800000
Nick Jensen,DET,800000,812500
Chris Wideman,OTT,800000,800000
Magnus Paajarvi,OTT,800000,800000
Scottie Upshall,STL,800000,800000
Lukas Sedlak,CBJ,800000,825000
Alex Biega,VAN,800000,750000
Drew Stafford,NJ,800000,800000
Derrick Pouliot,VAN,800000,800000
Stephen Johns,DAL,800000,725000
Tomas Jurco,CHI,800000,800000
Micheal Haley,FLA,800000,825000
Alexandar Georgiev,NYR,792500,792500
Jaccob Slavin,CAR,792500,742500
Josh Jooris,PIT,775000,775000
Nicolas Deslauriers,MTL,775000,775000
Tim Schaller,BOS,775000,775000
Mirco Mueller,NJ,775000,850000
Cody McLeod,NYR,750000,800000
Nicholas Baptiste,BUF,750000,718333
Laurent Dauphin,ARI,750000,745000
Madison Bowey,WSH,750000,703333
Gabriel Bourque,COL,750000,750000
Duncan Siemens,COL,750000,750000
William Carrier,VGS,750000,689167
Rinat Valiev,MTL,750000,778333
Connor Brickley,FLA,750000,750000
Tommy Wingels,BOS,750000,750000
Jon Marchessault,VGS,750000,750000
Jake Guentzel,PIT,742500,734167
Anton Lindholm,COL,742500,717500
Brendan Guhle,BUF,742500,697500
Adin Hill,ARI,742500,725833
Michael Amadio,LA,742500,717500
Samuel Girard,COL,742500,728333
Kevin Labanc,SJ,742500,717500
Victor Mete,MTL,742500,748333
Roope Hintz,DAL,742500,811667
Nick Seeler,MIN,742500,717500
Matthew Highmore,CHI,742500,775833
Carl Dahlstrom,CHI,742500,750833
Juuse Saros,NSH,742500,692500
John Gilmour,NYR,742500,742500
Brayden Point,TB,742500,686667
Alex DeBrincat,CHI,742500,778333
Dominik Simon,PIT,742500,692500
Vince Dunn,STL,742500,722500
Anthony Cirelli,TB,742500,728333
Sebastian Aho,NYI,742500,770000
Chris Tierney,SJ,735000,735000
Jesper Bratt,NJ,732500,749167
Maxim Mamin,FLA,732500,757500
Ethan Bear,EDM,730000,720000
David Rittich,CGY,725000,725000
Daniel Carr,MTL,725000,725000
Phillip Di Giuseppe,CAR,725000,725000
Iiro Pakarinen,EDM,725000,725000
Jon Gillies,CGY,725000,725000
Jacob de La Rose,MTL,725000,725000
Ondrej Kase,ANA,720000,670000
Denis Malgin,FLA,715000,690000
Tomas Hyka,VGS,710000,710000
Ross Johnston,NYI,710000,666667
Casey DeSmith,PIT,700000,675000
Jacob Josefson,BUF,700000,700000
Yohann Auvitu,EDM,700000,700000
Zac Rinaldo,ARI,700000,700000
Anton Forsberg,CHI,700000,750000
Marcus Sorensen,SJ,700000,700000
Luke Witkowski,DET,700000,750000
Mattias Janmark,DAL,700000,700000
Jake Dotchin,TB,700000,812500
Oliver Bjorkstrand,CBJ,700000,655833
Remi Elie,DAL,700000,728333
Brian Gionta,BOS,700000,700000
Jimmy Hayes,NJ,700000,700000
Joonas Korpisalo,CBJ,700000,900000
Noel Acciari,BOS,700000,725000
Mark Barberio,COL,700000,750000
Brendan Gaunce,VAN,700000,750000
Matt Hendricks,WPG,700000,700000
Antti Niemi,MTL,700000,700000
David Booth,DET,700000,700000
Brandon Tanev,WPG,700000,700000
Charlie Lindgren,MTL,700000,700000
Jean-Francois Berube,CHI,700000,700000
Dean Kukan,CBJ,700000,700000
Dylan DeMelo,SJ,700000,650000
Reid Boucher,VAN,687500,687500
Andy Andreoff,LA,675000,677500
Mike Reilly,MTL,675000,725000
MacKenzie Weegar,FLA,675000,675000
